word,Vision,Motor,Socialness,Emotion,Emotion_abs+1,Time,Space
更加,1.2,1.1,1.2,0.433333333,1.433333333,1.533333333,1.033333333
不,1.3,2.133333333,1.2,-1.466666667,2.466666667,1.1,1.066666667
来访,2.4,2.5,5.733333333,0.933333333,1.933333333,2.333333333,3.4
闺蜜,3.533333333,2.7,6.033333333,2.633333333,3.633333333,1.166666667,1.266666667
于是,1.166666667,1.033333333,1.1,0.166666667,1.166666667,1.466666667,1.033333333
赶忙,1.533333333,1.733333333,1.3,-1.1,2.1,5.1,1.333333333
面试,3.9,3.4,6.466666667,-0.366666667,1.366666667,2.966666667,2.566666667
大,1.466666667,2.6,1.1,0.566666667,1.566666667,1.1,2.2
科幻片,4.5,2.366666667,2.333333333,0.666666667,1.666666667,1.5,1.733333333
闻到,1.6,2.766666667,1.333333333,0.366666667,1.366666667,1.4,1.433333333
推销,2.7,3.366666667,5.966666667,-1.166666667,2.166666667,1.466666667,1.533333333
便,1.166666667,1.1,1.166666667,-0.233333333,1.233333333,1.466666667,1.133333333
一向,1.166666667,1.1,1.1,-0.266666667,1.266666667,3.7,1.2
坏,1.4,1.733333333,1.566666667,-3.933333333,4.933333333,1.166666667,1.2
房子,5.266666667,3.466666667,2,0.533333333,1.533333333,1.1,6.133333333
擦拭,2.833333333,4.633333333,1.266666667,0.466666667,1.466666667,1.433333333,2.166666667
恳请,2.033333333,3.066666667,5.333333333,0.1,1.1,1.566666667,1.233333333
的,1.066666667,1,1.1,0,1,1.033333333,1.033333333
自家,2.266666667,1.766666667,2.033333333,0.666666667,1.666666667,1.333333333,3.233333333
不住,1.233333333,1.333333333,1.366666667,-0.366666667,1.366666667,1.333333333,1.8
网页,4.2,1.866666667,3,0,1,1.1,1.366666667
稍微,1.2,1.133333333,1.1,0.1,1.1,1.466666667,1.066666667
详情,1.366666667,1.266666667,1.3,0.233333333,1.233333333,1.6,1.133333333
跑到,1.566666667,2.833333333,1.6,0.366666667,1.366666667,1.633333333,4.266666667
脚上,3.366666667,3.6,1.033333333,-0.2,1.2,1.133333333,2.733333333
惊醒,2.566666667,3.566666667,2.166666667,-2.366666667,3.366666667,2.266666667,1.566666667
被,1.333333333,1.066666667,2.2,-0.366666667,1.366666667,1.233333333,1.1
厉害,1.433333333,1.9,1.966666667,2.466666667,3.466666667,1.166666667,1.133333333
独自,1.666666667,1.5,1.166666667,-0.833333333,1.833333333,1.433333333,1.366666667
书店,5.233333333,3.066666667,3.666666667,0.866666667,1.866666667,1.066666667,6.1
可以,1.266666667,1.3,1.433333333,0.833333333,1.833333333,1.033333333,1.1
回赠,2.033333333,2.566666667,5.166666667,2.4,3.4,1.5,1.5
家人,3.3,2.333333333,6.133333333,2.666666667,3.666666667,1.233333333,1.633333333
瓶子,5.6,3.766666667,1.066666667,0,1,1.133333333,2.233333333
决裂,1.8,2.533333333,5.7,-3.866666667,4.866666667,1.5,1.5
好吃,1.766666667,3.5,1.366666667,3.633333333,4.633333333,1.166666667,1.233333333
高达,3.133333333,2.1,1.633333333,0.966666667,1.966666667,1.166666667,2.033333333
打牌,4.166666667,4.833333333,6.133333333,0.633333333,1.633333333,2.266666667,2.133333333
