股票代码,会计年度,行业代码,信息含量
000756,2020.0,C27,-0.22523530999569985
000757,2020.0,F52,-0.28621942799507194
000758,2020.0,B09,-0.26658419976207387
000759,2020.0,F52,-0.25071093791207316
000761,2020.0,C31,-0.19056764785478952
000766,2020.0,C27,-0.3393735386904536
000767,2020.0,D44,-0.23012976889196543
000768,2020.0,C37,-0.20980240180104293
000776,2020.0,J67,-0.2789900832407514
000777,2020.0,C34,-0.20184030431948902
000778,2020.0,C33,-0.2578374496047622
000779,2020.0,M74,-0.14004043855265047
000782,2020.0,C28,-0.2253299562872137
000783,2020.0,J67,-0.36784485882918894
000785,2020.0,F52,-0.22560352931100236
000786,2020.0,C30,-0.2303628189037285
000788,2020.0,C27,-0.1640842907829876
000789,2020.0,C30,-0.41387525777470063
000790,2020.0,C27,-0.28056233886737203
000791,2020.0,D44,-0.23170683984215998
000792,2020.0,C26,-0.3280115249879064
000793,2020.0,R85,-0.2125087574303346
000795,2020.0,C30,-0.33762151025914305
000796,2020.0,L72,-0.22852884302893195
000797,2020.0,K70,-0.2929487253313734
000799,2020.0,C15,-0.33167134202969056
000800,2020.0,C36,-0.302777167279684
000801,2020.0,C39,-0.27208764596118695
000802,2020.0,R86,-0.2908725853971154
000803,2020.0,C38,-0.19842017484708863
000806,2020.0,C38,-0.3791622684468705
000807,2020.0,C32,-0.2973714906540653
000810,2020.0,C39,-0.3310729710132754
000811,2020.0,C34,-0.15488797784006242
000813,2020.0,C27,-0.24605022517186143
000815,2020.0,C22,-0.14580201218384475
000816,2020.0,C34,-0.2827671294273178
000818,2020.0,C26,-0.2782279383903168
000821,2020.0,C35,-0.31524336463210934
000822,2020.0,C26,-0.30138832428794643
000823,2020.0,C39,-0.12893219490539432
000825,2020.0,C31,-0.2267887085226683
000826,2020.0,N77,-0.30366678500052946
000828,2020.0,G54,-0.2969851728851566
000829,2020.0,F51,-0.2163186097451245
000830,2020.0,C26,-0.31000770117172594
000831,2020.0,C32,-0.3112652191669927
000835,2020.0,I64,-0.22224979663357608
000836,2020.0,C38,-0.25066223529875675
000837,2020.0,C34,-0.30666581790652564
000838,2020.0,K70,-0.3282359110489911
000848,2020.0,C15,-0.19823684958117546
000850,2020.0,C17,-0.27504140502881486
000851,2020.0,F52,-0.27128049104847285
000852,2020.0,C35,-0.24223140067790921
000856,2020.0,C35,-0.2906470476483851
000858,2020.0,C15,-0.19892358571665428
000859,2020.0,C29,-0.2535863196687913
000860,2020.0,C15,-0.24169463678908745
000861,2020.0,L72,-0.2844937649537965
000862,2020.0,D44,-0.2586300533560374
000863,2020.0,K70,-0.28924983674015103
000868,2020.0,C36,-0.3638067046459996
000869,2020.0,C15,-0.25319805533866535
000875,2020.0,D44,-0.1460273497498798
000877,2020.0,C30,-0.24750460724904294
000880,2020.0,C34,-0.21956629240121509
000881,2020.0,C26,-0.16922899093870458
000882,2020.0,L72,-0.2772057152792706
000883,2020.0,D44,-0.12466974175103109
000885,2020.0,G54,-0.14573876475506803
000886,2020.0,K70,-0.3089920525995672
000887,2020.0,C29,-0.20033618848317591
000889,2020.0,I65,-0.23610642585087727
000890,2020.0,C33,-0.35111529544867504
000892,2020.0,R86,-0.24115067671234924
000893,2020.0,C26,-0.3239999282130642
000895,2020.0,C13,-0.29052063479091716
000897,2020.0,K70,-0.14121906398827813
000898,2020.0,C31,-0.3377580942296139
000899,2020.0,D44,-0.28917215290706755
000900,2020.0,G54,-0.2385845772762667
000901,2020.0,C36,-0.20903630355666974
000902,2020.0,C26,-0.3184953945170854
000903,2020.0,C34,-0.36556069676506153
000905,2020.0,G55,-0.2604411661724557
000906,2020.0,F51,-0.2912742822868006
000908,2020.0,C27,-0.21439046850947358
000909,2020.0,K70,-0.271736975728224
000911,2020.0,C13,-0.20441368022092227
000912,2020.0,C26,-0.10571867998597831
000913,2020.0,C37,-0.3091876708823877
000915,2020.0,C27,-0.2517823717208402
000918,2020.0,K70,-0.2579106849934024
000919,2020.0,C27,-0.21741112756549275
000920,2020.0,C26,-0.22001303669847222
000921,2020.0,C38,-0.29741654655771993
000922,2020.0,C38,-0.351737593787866
000925,2020.0,C35,-0.26628130293917773
000926,2020.0,K70,-0.1748513830526831
000927,2020.0,C36,-0.24952807620828465
000928,2020.0,E48,-0.33991866144129157
000929,2020.0,C15,-0.1969892017675129
000930,2020.0,C26,-0.2658967692593789
000931,2020.0,C27,-0.19506386741924475
000932,2020.0,C31,-0.2412899784699642
000933,2020.0,C32,-0.21571832394211513
000935,2020.0,C30,-0.24455140764859404
000936,2020.0,C28,-0.15230622074951364
000937,2020.0,B06,-0.14498276134365268
000938,2020.0,C39,-0.32711986798263826
000948,2020.0,I65,-0.2323907783549617
000949,2020.0,C28,-0.2522999544978392
000950,2020.0,F51,-0.19194759326481742
000951,2020.0,C36,-0.29332793093753673
000952,2020.0,C27,-0.11163538855752927
000953,2020.0,C26,-0.21631934528246732
000955,2020.0,C17,-0.393620087084876
000957,2020.0,C36,-0.2194970899137068
000958,2020.0,J69,-0.25520005640426396
000959,2020.0,C31,-0.2503964209022236
000960,2020.0,C32,-0.20047792703972372
000961,2020.0,K70,-0.19511777978000897
000962,2020.0,C32,-0.2736021495770904
000963,2020.0,F52,-0.17943951891856164
000965,2020.0,K70,-0.2727823937985745
000966,2020.0,D44,-0.34288484356275845
000967,2020.0,N77,-0.19982933909478104
000969,2020.0,C33,-0.25526156901660396
000970,2020.0,C39,-0.3014554586837305
000971,2020.0,I65,-0.28966575315122056
000972,2020.0,C13,-0.22346354113141081
000973,2020.0,C29,-0.3702452638327897
000975,2020.0,B09,-0.12276169431448565
000976,2020.0,C37,-0.2412545912765886
000977,2020.0,C39,-0.23665269401535993
000980,2020.0,C36,-0.2348578592549663
000981,2020.0,C36,-0.23436645215180596
000982,2020.0,C17,-0.2577959937569187
000983,2020.0,B06,-0.17254469902524616
000985,2020.0,C26,-0.3371032700595014
000987,2020.0,J69,-0.20550353057765633
000988,2020.0,C39,-0.13512526325501512
000989,2020.0,C27,-0.2622689066427225
000990,2020.0,C26,-0.1974949723725935
000993,2020.0,D44,-0.20331843016646534
000995,2020.0,C15,-0.23904821955022226
000996,2020.0,F51,-0.20969720740337522
000997,2020.0,I65,-0.32837843406788264
000999,2020.0,C27,-0.31634651673514813
001696,2020.0,C37,-0.2686471035236806
001872,2020.0,G55,-0.16730130622403955
001896,2020.0,D44,-0.21808572895717793
001914,2020.0,K70,-0.24500985570931944
001965,2020.0,G54,-0.303817026263107
001979,2020.0,K70,-0.3047384627886174
002001,2020.0,C27,-0.3671810622334611
002002,2020.0,C26,-0.17872850139789392
002003,2020.0,C18,-0.18648162066862622
002004,2020.0,C26,-0.2823735567053875
002005,2020.0,C38,-0.23672984578136777
002006,2020.0,C35,-0.3617359071507883
002007,2020.0,C27,-0.3386614459197638
002008,2020.0,C35,-0.3760709866500148
002009,2020.0,C34,-0.21053220646649962
002010,2020.0,L72,-0.37494155345557906
002011,2020.0,C34,-0.25963025621199737
002012,2020.0,C22,-0.17197687948610857
002013,2020.0,C37,-0.27461700714954923
002014,2020.0,C29,-0.265210793269107
002015,2020.0,D44,-0.26014917375798097
002016,2020.0,K70,-0.15236815549672258
002017,2020.0,C39,-0.18591273651521914
002019,2020.0,C27,-0.2677720171043389
002020,2020.0,C27,-0.2853504152537989
002021,2020.0,C35,-0.28028209829579465
002022,2020.0,C27,-0.16328094753803557
002023,2020.0,C37,-0.18253505342739396
